Designator,Mid X,Mid Y,Rotation,Layer
C1,109.0,-92.0,180.0,bottom
C2,139.0,-92.0,180.0,bottom
J1,103.5,-60.5,90.0,bottom
J2,103.5,-46.5,90.0,bottom
J3,136.29,-81.525,0.0,bottom
J4,123.0,-100.0,180.0,bottom
J5,169.0,-81.1725,0.0,bottom
J6,153.75,-100.0,180.0,bottom
J7,110.0,-53.0,180.0,bottom
U1,119.25,-78.8525,270.0,bottom
U2,145.0,-54.0,270.0,bottom
U3,150.0,-79.0,270.0,bottom
